DSA,FIPS,Duplicate?
Donor Alliance,'08109',0
Donor Alliance,'08111',0
Donor Alliance,'08113',0
Donor Alliance,'08115',0
Donor Alliance,'08117',0
Donor Alliance,'08119',0
Donor Alliance,'08121',0
Donor Alliance,'08123',0
Donor Alliance,'08125',0
New England Organ Bank,'09001',0
LifeChoice Donor Services,'09003',0
LifeChoice Donor Services,'09005',0
LifeChoice Donor Services,'09007',0
New England Organ Bank,'09009',0
LifeChoice Donor Services,'09011',0
LifeChoice Donor Services,'09013',0
LifeChoice Donor Services,'09015',0
Gift of Life Donor Program,'10001',0
Gift of Life Donor Program,'10003',0
Gift of Life Donor Program,'10005',0
Washington Regional Transplant Community,'11001',0
LifeQuest Organ Recovery Services,'12001',0
LifeQuest Organ Recovery Services,'12003',0
LifeQuest Organ Recovery Services,'12005',0
LifeQuest Organ Recovery Services,'12007',0
TransLife,'12009',0
Life Alliance Organ Recovery Agency,'12011',0
LifeQuest Organ Recovery Services,'12013',0
LifeLink of Florida,'12015',0
LifeQuest Organ Recovery Services,'12017',0
LifeQuest Organ Recovery Services,'12019',0
Life Alliance Organ Recovery Agency,'12021',0
LifeQuest Organ Recovery Services,'12023',0
LifeLink of Florida,'12027',0
LifeQuest Organ Recovery Services,'12029',0
LifeQuest Organ Recovery Services,'12031',0
LifeQuest Organ Recovery Services,'12033',0
TransLife,'12035',0
LifeQuest Organ Recovery Services,'12037',0
LifeQuest Organ Recovery Services,'12039',0
LifeQuest Organ Recovery Services,'12041',0
LifeLink of Florida,'12043',0
LifeQuest Organ Recovery Services,'12045',0
LifeQuest Organ Recovery Services,'12047',0
LifeLink of Florida,'12049',0
LifeLink of Florida,'12051',0
LifeLink of Florida,'12053',0
LifeLink of Florida,'12055',0
LifeLink of Florida,'12057',0
LifeQuest Organ Recovery Services,'12059',0
TransLife,'12061',0
LifeQuest Organ Recovery Services,'12063',0
LifeQuest Organ Recovery Services,'12065',0
LifeQuest Organ Recovery Services,'12067',0
TransLife,'12069',0
LifeLink of Florida,'12071',0
LifeQuest Organ Recovery Services,'12073',0
LifeQuest Organ Recovery Services,'12075',0
LifeQuest Organ Recovery Services,'12077',0
LifeQuest Organ Recovery Services,'12079',0
LifeLink of Florida,'12081',0
LifeQuest Organ Recovery Services,'12083',0
LifeLink of Florida,'12085',0
Life Alliance Organ Recovery Agency,'12086',0
Life Alliance Organ Recovery Agency,'12087',0
LifeQuest Organ Recovery Services,'12089',0
LifeQuest Organ Recovery Services,'12091',0
TransLife,'12093',0
TransLife,'12095',0
TransLife,'12097',0
Life Alliance Organ Recovery Agency,'12099',0
LifeLink of Florida,'12101',0
LifeLink of Florida,'12103',0
LifeLink of Florida,'12105',0
LifeQuest Organ Recovery Services,'12107',0
LifeQuest Organ Recovery Services,'12109',0
Life Alliance Organ Recovery Agency,'12111',0
LifeQuest Organ Recovery Services,'12113',0
LifeLink of Florida,'12115',0
TransLife,'12117',0
TransLife,'12119',0
LifeQuest Organ Recovery Services,'12121',0
LifeQuest Organ Recovery Services,'12123',0
LifeQuest Organ Recovery Services,'12125',0
TransLife,'12127',0
LifeQuest Organ Recovery Services,'12129',0
LifeQuest Organ Recovery Services,'12131',0
LifeQuest Organ Recovery Services,'12133',0
LifeLink of Georgia,'13001',0
LifeLink of Georgia,'13003',0
LifeLink of Georgia,'13005',0
LifeLink of Georgia,'13007',0
LifeLink of Georgia,'13009',0
LifeLink of Georgia,'13011',0
LifeLink of Georgia,'13013',0
LifeLink of Georgia,'13015',0
LifeLink of Georgia,'13017',0
LifeLink of Georgia,'13019',0
LifeLink of Georgia,'13021',0
LifeLink of Georgia,'13023',0
LifeLink of Georgia,'13025',0
LifeLink of Georgia,'13027',0
LifeLink of Georgia,'13029',0
LifeLink of Georgia,'13031',0
LifeLink of Georgia,'13033',0
LifeLink of Georgia,'13035',0
LifeLink of Georgia,'13037',0
LifeLink of Georgia,'13039',0
LifeLink of Georgia,'13043',0
LifeLink of Georgia,'13045',0
Tennessee Donor Services,'13047',0
LifeLink of Georgia,'13049',0
LifeLink of Georgia,'13051',0
Alabama Organ Center,'13053',0
LifeLink of Georgia,'13055',0
LifeLink of Georgia,'13057',0
LifeLink of Georgia,'13059',0
LifeLink of Georgia,'13061',0
LifeLink of Georgia,'13063',0
LifeLink of Georgia,'13065',0
LifeLink of Georgia,'13067',0
LifeLink of Georgia,'13069',0
LifeLink of Georgia,'13071',0
LifeLink of Georgia,'13073',0
LifeLink of Georgia,'13075',0
LifeLink of Georgia,'13077',0
LifeLink of Georgia,'13079',0
LifeLink of Georgia,'13081',0
Tennessee Donor Services,'13083',0
LifeLink of Georgia,'13085',0
LifeLink of Georgia,'13087',0
LifeLink of Georgia,'13089',0
LifeLink of Georgia,'13091',0
LifeLink of Georgia,'13093',0
LifeLink of Georgia,'13095',0
LifeLink of Georgia,'13097',0
LifeLink of Georgia,'13099',0
LifeLink of Georgia,'13101',0
LifeLink of Georgia,'13103',0
LifeLink of Georgia,'13105',0
LifeLink of Georgia,'13107',0
LifeLink of Georgia,'13109',0
LifeLink of Georgia,'13111',0
LifeLink of Georgia,'13113',0
LifeLink of Georgia,'13115',0
LifeLink of Georgia,'13117',0
LifeLink of Georgia,'13119',0
LifeLink of Georgia,'13121',0
LifeLink of Georgia,'13123',0
LifeLink of Georgia,'13125',0
LifeLink of Georgia,'13127',0
LifeLink of Georgia,'13129',0
LifeLink of Georgia,'13131',0
LifeLink of Georgia,'13133',0
LifeLink of Georgia,'13135',0
LifeLink of Georgia,'13137',0
LifeLink of Georgia,'13139',0
LifeLink of Georgia,'13141',0
LifeLink of Georgia,'13143',0
LifeLink of Georgia,'13145',0
LifeLink of Georgia,'13147',0
LifeLink of Georgia,'13149',0
LifeLink of Georgia,'13151',0
LifeLink of Georgia,'13153',0
LifeLink of Georgia,'13155',0
LifeLink of Georgia,'13157',0
LifeLink of Georgia,'13159',0
LifeLink of Georgia,'13161',0
LifeLink of Georgia,'13163',0
LifeLink of Georgia,'13165',0
LifeLink of Georgia,'13167',0
LifeLink of Georgia,'13169',0
LifeLink of Georgia,'13171',0
LifeLink of Georgia,'13173',0
LifeLink of Georgia,'13175',0
LifeLink of Georgia,'13177',0
LifeLink of Georgia,'13179',0
LifeLink of Georgia,'13181',0
LifeLink of Georgia,'13183',0
LifeLink of Georgia,'13185',0
LifeLink of Georgia,'13187',0
LifeLink of Georgia,'13189',0
LifeLink of Georgia,'13191',0
LifeLink of Georgia,'13193',0
LifeLink of Georgia,'13195',0
LifeLink of Georgia,'13197',0
LifeLink of Georgia,'13199',0
LifeLink of Georgia,'13201',0
LifeLink of Georgia,'13205',0
LifeLink of Georgia,'13207',0
LifeLink of Georgia,'13209',0
LifeLink of Georgia,'13211',0
LifeLink of Georgia,'13213',0
Alabama Organ Center,'13215',0
LifeLink of Georgia,'13217',0
LifeLink of Georgia,'13219',0
LifeLink of Georgia,'13221',0
LifeLink of Georgia,'13223',0
LifeLink of Georgia,'13225',0
LifeLink of Georgia,'13227',0
LifeLink of Georgia,'13229',0
LifeLink of Georgia,'13231',0
LifeLink of Georgia,'13233',0
LifeLink of Georgia,'13235',0
LifeLink of Georgia,'13237',0
LifeLink of Georgia,'13239',0
LifeLink of Georgia,'13241',0
LifeLink of Georgia,'13243',0
LifeLink of Georgia,'13245',0
LifeLink of Georgia,'13247',0
LifeLink of Georgia,'13249',0
LifeLink of Georgia,'13251',0
LifeLink of Georgia,'13253',0
LifeLink of Georgia,'13255',0
LifeLink of Georgia,'13257',0
LifeLink of Georgia,'13259',0
LifeLink of Georgia,'13261',0
LifeLink of Georgia,'13263',0
LifeLink of Georgia,'13265',0
LifeLink of Georgia,'13267',0
LifeLink of Georgia,'13269',0
LifeLink of Georgia,'13271',0
LifeLink of Georgia,'13273',0
LifeLink of Georgia,'13275',0
LifeLink of Georgia,'13277',0
LifeLink of Georgia,'13279',0
LifeLink of Georgia,'13281',0
LifeLink of Georgia,'13283',0
LifeLink of Georgia,'13285',0
LifeLink of Georgia,'13287',0
LifeLink of Georgia,'13289',0
LifeLink of Georgia,'13291',0
LifeLink of Georgia,'13293',0
Tennessee Donor Services,'13295',0
LifeLink of Georgia,'13297',0
LifeLink of Georgia,'13299',0
LifeLink of Georgia,'13301',0
LifeLink of Georgia,'13303',0
LifeLink of Georgia,'13305',0
LifeLink of Georgia,'13307',0
LifeLink of Georgia,'13309',0
LifeLink of Georgia,'13311',0
LifeLink of Georgia,'13313',0
LifeLink of Georgia,'13315',0
LifeLink of Georgia,'13317',0
LifeLink of Georgia,'13319',0
LifeLink of Georgia,'13321',0
Legacy of Life Hawaii,'15001',0
Legacy of Life Hawaii,'15003',0
Legacy of Life Hawaii,'15005',0
Legacy of Life Hawaii,'15007',0
Legacy of Life Hawaii,'15009',0
Pacific Northwest Transplant Bank,'16001',0
Pacific Northwest Transplant Bank,'16003',0
Intermountain Donor Services,'16005',0
Intermountain Donor Services,'16007',0
LifeCenter Northwest,'16009',0
Intermountain Donor Services,'16011',0
Intermountain Donor Services,'16013',0
Pacific Northwest Transplant Bank,'16015',0
LifeCenter Northwest,'16017',0
Intermountain Donor Services,'16019',0
LifeCenter Northwest,'16021',0
Intermountain Donor Services,'16023',0
Intermountain Donor Services,'16025',0
Pacific Northwest Transplant Bank,'16027',0
Intermountain Donor Services,'16029',0
Intermountain Donor Services,'16031',0
Intermountain Donor Services,'16033',0
LifeCenter Northwest,'16035',0
Intermountain Donor Services,'16037',0
Intermountain Donor Services,'16039',0
Intermountain Donor Services,'16041',0
Intermountain Donor Services,'16043',0
Pacific Northwest Transplant Bank,'16045',0
Intermountain Donor Services,'16047',0
LifeCenter Northwest,'16049',0
Intermountain Donor Services,'16051',0
Intermountain Donor Services,'16053',0
LifeCenter Northwest,'16055',0
LifeCenter Northwest,'16057',0
LifeCenter Northwest,'16059',0
LifeCenter Northwest,'16061',0
Intermountain Donor Services,'16063',0
Intermountain Donor Services,'16065',0
Intermountain Donor Services,'16067',0
LifeCenter Northwest,'16069',0
Intermountain Donor Services,'16071',0
Intermountain Donor Services,'16073',0
Pacific Northwest Transplant Bank,'16075',0
Intermountain Donor Services,'16077',0
LifeCenter Northwest,'16079',0
Intermountain Donor Services,'16081',0
Intermountain Donor Services,'16083',0
LifeCenter Northwest,'16085',1
Pacific Northwest Transplant Bank,'16085',0
Pacific Northwest Transplant Bank,'16087',0
Gift of Hope Organ & Tissue Donor Network,'17001',0
Mid-America Transplant Services,'17003',0
Mid-America Transplant Services,'17005',0
Gift of Hope Organ & Tissue Donor Network,'17007',0
Gift of Hope Organ & Tissue Donor Network,'17009',0
Gift of Hope Organ & Tissue Donor Network,'17011',0
Gift of Hope Organ & Tissue Donor Network,'17013',0
Gift of Hope Organ & Tissue Donor Network,'17015',0
Gift of Hope Organ & Tissue Donor Network,'17017',0
Gift of Hope Organ & Tissue Donor Network,'17019',0
Gift of Hope Organ & Tissue Donor Network,'17021',0
Gift of Hope Organ & Tissue Donor Network,'17023',0
Gift of Hope Organ & Tissue Donor Network,'17025',0
Mid-America Transplant Services,'17027',0
Gift of Hope Organ & Tissue Donor Network,'17029',0
Gift of Hope Organ & Tissue Donor Network,'17031',0
Gift of Hope Organ & Tissue Donor Network,'17033',0
Gift of Hope Organ & Tissue Donor Network,'17035',0
Gift of Hope Organ & Tissue Donor Network,'17037',0
Gift of Hope Organ & Tissue Donor Network,'17039',0
Gift of Hope Organ & Tissue Donor Network,'17041',0
Gift of Hope Organ & Tissue Donor Network,'17043',0
Gift of Hope Organ & Tissue Donor Network,'17045',0
Mid-America Transplant Services,'17047',0
Gift of Hope Organ & Tissue Donor Network,'17049',0
Gift of Hope Organ & Tissue Donor Network,'17051',0
Gift of Hope Organ & Tissue Donor Network,'17053',0
Mid-America Transplant Services,'17055',0
Gift of Hope Organ & Tissue Donor Network,'17057',0
Mid-America Transplant Services,'17059',0
Gift of Hope Organ & Tissue Donor Network,'17061',0
Gift of Hope Organ & Tissue Donor Network,'17063',0
Mid-America Transplant Services,'17065',0
Gift of Hope Organ & Tissue Donor Network,'17067',0
Mid-America Transplant Services,'17069',0
Gift of Hope Organ & Tissue Donor Network,'17071',0
Gift of Hope Organ & Tissue Donor Network,'17073',0
Gift of Hope Organ & Tissue Donor Network,'17075',0
Mid-America Transplant Services,'17077',0
Gift of Hope Organ & Tissue Donor Network,'17079',0
Mid-America Transplant Services,'17081',0
Mid-America Transplant Services,'17083',0
Gift of Hope Organ & Tissue Donor Network,'17085',0
Mid-America Transplant Services,'17087',0
Gift of Hope Organ & Tissue Donor Network,'17089',0
Gift of Hope Organ & Tissue Donor Network,'17091',0
Gift of Hope Organ & Tissue Donor Network,'17093',0
Gift of Hope Organ & Tissue Donor Network,'17095',0
Gift of Hope Organ & Tissue Donor Network,'17097',0
Gift of Hope Organ & Tissue Donor Network,'17099',0
Gift of Hope Organ & Tissue Donor Network,'17101',0
Gift of Hope Organ & Tissue Donor Network,'17103',0
Gift of Hope Organ & Tissue Donor Network,'17105',0
Gift of Hope Organ & Tissue Donor Network,'17107',0
Gift of Hope Organ & Tissue Donor Network,'17109',0
Gift of Hope Organ & Tissue Donor Network,'17111',0
Gift of Hope Organ & Tissue Donor Network,'17113',0
Gift of Hope Organ & Tissue Donor Network,'17115',0
Gift of Hope Organ & Tissue Donor Network,'17117',0
Mid-America Transplant Services,'17119',0
Mid-America Transplant Services,'17121',0
Gift of Hope Organ & Tissue Donor Network,'17123',0
Gift of Hope Organ & Tissue Donor Network,'17125',0
Mid-America Transplant Services,'17127',0
Gift of Hope Organ & Tissue Donor Network,'17129',0
Gift of Hope Organ & Tissue Donor Network,'17131',0
Mid-America Transplant Services,'17133',0
Gift of Hope Organ & Tissue Donor Network,'17135',0
Gift of Hope Organ & Tissue Donor Network,'17137',0
Gift of Hope Organ & Tissue Donor Network,'17139',0
Gift of Hope Organ & Tissue Donor Network,'17141',0
Gift of Hope Organ & Tissue Donor Network,'17143',0
Mid-America Transplant Services,'17145',0
Gift of Hope Organ & Tissue Donor Network,'17147',0
Gift of Hope Organ & Tissue Donor Network,'17149',0
Mid-America Transplant Services,'17151',0
Mid-America Transplant Services,'17153',0
Gift of Hope Organ & Tissue Donor Network,'17155',0
Mid-America Transplant Services,'17157',0
Gift of Hope Organ & Tissue Donor Network,'17159',0
Gift of Hope Organ & Tissue Donor Network,'17161',0
Mid-America Transplant Services,'17163',0
Mid-America Transplant Services,'17165',0
Gift of Hope Organ & Tissue Donor Network,'17167',0
Gift of Hope Organ & Tissue Donor Network,'17169',0
Gift of Hope Organ & Tissue Donor Network,'17171',0
Gift of Hope Organ & Tissue Donor Network,'17173',0
Gift of Hope Organ & Tissue Donor Network,'17175',0
Gift of Hope Organ & Tissue Donor Network,'17177',0
Gift of Hope Organ & Tissue Donor Network,'17179',0
Mid-America Transplant Services,'17181',0
Gift of Hope Organ & Tissue Donor Network,'17183',0
Mid-America Transplant Services,'17185',0
Gift of Hope Organ & Tissue Donor Network,'17187',0
Mid-America Transplant Services,'17189',0
Mid-America Transplant Services,'17191',0
Mid-America Transplant Services,'17193',0
Gift of Hope Organ & Tissue Donor Network,'17195',0
Gift of Hope Organ & Tissue Donor Network,'17197',0
Mid-America Transplant Services,'17199',0
Gift of Hope Organ & Tissue Donor Network,'17201',0
Gift of Hope Organ & Tissue Donor Network,'17203',0
Indiana Organ Procurement Organization,'18001',0
Indiana Organ Procurement Organization,'18003',0
Indiana Organ Procurement Organization,'18005',0
Indiana Organ Procurement Organization,'18007',0
Indiana Organ Procurement Organization,'18009',0
Indiana Organ Procurement Organization,'18011',0
Indiana Organ Procurement Organization,'18013',0
Indiana Organ Procurement Organization,'18015',0
Indiana Organ Procurement Organization,'18017',0
Kentucky Organ Donor Affiliates,'18019',0
Indiana Organ Procurement Organization,'18021',0
Indiana Organ Procurement Organization,'18023',0
Indiana Organ Procurement Organization,'18025',0
Indiana Organ Procurement Organization,'18027',0
LifeCenter Organ Donor Network,'18029',0
Indiana Organ Procurement Organization,'18031',0
Indiana Organ Procurement Organization,'18035',0
Indiana Organ Procurement Organization,'18037',0
Indiana Organ Procurement Organization,'18039',0
Indiana Organ Procurement Organization,'18041',0
Kentucky Organ Donor Affiliates,'18043',0
Indiana Organ Procurement Organization,'18045',0
Indiana Organ Procurement Organization,'18047',0
Indiana Organ Procurement Organization,'18049',0
Indiana Organ Procurement Organization,'18051',0
Indiana Organ Procurement Organization,'18053',0
Indiana Organ Procurement Organization,'18055',0
Indiana Organ Procurement Organization,'18057',0
Indiana Organ Procurement Organization,'18059',0
Kentucky Organ Donor Affiliates,'18061',0
Indiana Organ Procurement Organization,'18063',0
Indiana Organ Procurement Organization,'18065',0
Indiana Organ Procurement Organization,'18067',0
Indiana Organ Procurement Organization,'18069',0
Indiana Organ Procurement Organization,'18071',0
Indiana Organ Procurement Organization,'18073',0
Indiana Organ Procurement Organization,'18075',0
Indiana Organ Procurement Organization,'18077',0
Indiana Organ Procurement Organization,'18079',0
Indiana Organ Procurement Organization,'18081',0
Indiana Organ Procurement Organization,'18083',0
Indiana Organ Procurement Organization,'18085',0
Indiana Organ Procurement Organization,'18087',0
Gift of Hope Organ & Tissue Donor Network,'18089',0
Indiana Organ Procurement Organization,'18091',0
Indiana Organ Procurement Organization,'18093',0
Indiana Organ Procurement Organization,'18095',0
Indiana Organ Procurement Organization,'18097',0
Indiana Organ Procurement Organization,'18099',0
Indiana Organ Procurement Organization,'18101',0
Indiana Organ Procurement Organization,'18103',0
Indiana Organ Procurement Organization,'18105',0
Indiana Organ Procurement Organization,'18107',0
Indiana Organ Procurement Organization,'18109',0
Indiana Organ Procurement Organization,'18111',0
Indiana Organ Procurement Organization,'18113',0
LifeCenter Organ Donor Network,'18115',0
