StateName,OPOProviderName,ServiceCounties,FullAddress,Telephone,URL
California,OneLegacy,"Kern, Los Angeles, Orange, Riverside, San Bernardino, Santa Barbara, Ventura","221 S Figueroa St Ste 500 Los Angeles, CA 90012-2526",213-229-5600,http://www.onelegacy.org
California,Sierra Donor Services,"Amador, Calaveras, Colusa, El Dorado, Nevada, Placer, Sacramento, Sierra, Sutter, Yolo, Yuba","1760 Creekside Oaks Dr Ste 220 Sacramento, CA 95833-3644",916-567-1600,http://www.gsds.org
Colorado,Donor Alliance,"Adams, Alamosa, Albany, Arapahoe, Archuleta, Baca, Bent, Big Horn, Boulder, Broomfield, Campbell, Carbon, Chaffee, Cheyenne, Clear Creek, Conejos, Converse, Costilla, Crook, Crowley, Custer, Delta, Denver, Dolores, Douglas, Eagle, El Paso, Elbert, Fremont, Fremont, Garfield, Gilpin, Goshen, Grand, Gunnison, Hinsdale, Hot Springs, Huerfano, Jackson, Jefferson, Johnson, Kiowa, Kit Carson, La Plata, Lake, Laramie, Larimer, Las Animas, Lincoln, Logan, Mesa, Mineral, Moffat, Montezuma, Montrose, Morgan, Natrona, Niobrara, Otero, Ouray, Park, Park, Phillips, Pitkin, Platte, Prowers, Pueblo, Rio Blanco, Rio Grande, Routt, Saguache, San Juan, San Miguel, Sedgwick, Sheridan, Sublette, Summit, Teller, Teton, Washakie, Washington, Weld, Weston, Yuma","720 S Colorado Blvd Ste 800n Denver, CO 80246-1963",303-329-4747,http://www.donoralliance.org
Connecticut,LifeChoice Donor Services,"Franklin, Hampden, Hampshire, Hartford, Litchfield, Middlesex, New London, Tolland, Windham","8 Griffin Rd N Windsor, CT 06095-1573",860-286-3120,http://www.lifechoiceopo.org
Connecticut,New England Organ Bank,"Androscoggin, Aroostook, Barnstable, Belknap, Berkshire, Bristol, Bristol, Caledonia, Carroll, Cheshire, Coos, Cumberland, Dukes, Essex, Essex, Fairfield, Franklin, Grafton, Hancock, Hillsborough, Kennebec, Kent, Knox, Lincoln, Merrimack, Middlesex, Nantucket, New Haven, Newport, Norfolk, Orange, Orleans, Oxford, Penobscot, Piscataquis, Plymouth, Providence, Rockingham, Sagadahoc, Somerset, Strafford, Suffolk, Sullivan, Waldo, Washington, Washington, Washington, Windham, Windsor, Worcester, York","60 1st Ave Waltham, MA 02451-1106",617-244-8000,http://www.neob.org
Delaware,Gift of Life Donor Program,"Adams, Atlantic, Berks, Bucks, Burlington, Camden, Cape May, Carbon, Centre, Chester, Clinton, Columbia, Cumberland, Cumberland, Dauphin, Delaware, Gloucester, Juniata, Kent, Lackawanna, Lancaster, Lebanon, Lehigh, Luzerne, Lycoming, Mifflin, Monroe, Montgomery, Montour, New Castle, Northampton, Northumberland, Perry, Philadelphia, Salem, Schuylkill, Snyder, Sullivan, Susquehanna, Sussex, Tioga, Union, Wayne, Wyoming, York","401 N 3rd St Philadelphia, PA 19123-4106",215-557-8090,http://www.donors1.org
District of Columbia,Washington Regional Transplant Community,"Alexandria City, Arlington, Berkeley, Charles, Clarke, Culpeper, District of Columbia, Fairfax, Fairfax City, Falls Church City, Fauquier, Fredericksburg City, Jefferson, King George, Loudoun, Manassas City, Manassas Park City, Montgomery, Prince George's, Prince William, Spotsylvania, Stafford, Warren","7619 Little River Tpke Ste 900 Annandale, VA 22003-2628",703-641-0100,http://www.beadonor.org
Florida,Life Alliance Organ Recovery Agency,"Broward, Collier, Miami-Dade, Monroe, Palm Beach, St. Lucie","1951 Nw 7th Ave Ste 220 Miami, FL 33136-1131",305-243-7622,http://www.laora.med.miami.edu
Florida,LifeLink of Florida,"Charlotte, DeSoto, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Lee, Manatee, Martin, Pasco, Pinellas, Polk, Sarasota","409 Bayshore Blvd Fl 5 Tampa, FL 33606-2486",813-348-6308,http://www.lifelinkfound.org
Florida,LifeQuest Organ Recovery Services,"Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Putnam, Santa Rosa, St. Johns, Suwannee, Taylor, Union, Wakulla, Walton, Washington","720 Sw 2nd Avenue North Tower Ste 570 Gainesville, FL 32601",352-733-0350,http://lifequestfla.org
Florida,TransLife,"Brevard, Flagler, Indian River, Lake, Okeechobee, Orange, Osceola, Seminole, Sumter, Volusia","1560 Orange Ave Ste 400 Winter Park, FL 32789-5559",407-644-3770,http://www.TransLife.org
Georgia,Alabama Organ Center,"Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Chattahoochee, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Colbert, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, DeKalb, Elmore, Escambia, Etowah, Fayette, Franklin, Geneva, Greene, Hale, Henry, Houston, Jackson, Jefferson, Lamar, Lauderdale, Lawrence, Lee, Limestone, Lowndes, Macon, Madison, Marengo, Marion, Marshall, Mobile, Monroe, Montgomery, Morgan, Muscogee, Perry, Pickens, Pike, Randolph, Russell, Shelby, St. Clair, Sumter, Talladega, Tallapoosa, Tuscaloosa, Walker, Washington, Wilcox, Winston","500 22nd Street South Suite 102 Jnwb Birmingham, AL 35233",205-731-9200,http://www.alabamaorgancenter.org/
Georgia,LifeLink of Georgia,"Aiken, Appling, Atkinson, Bacon, Baker, Baldwin, Banks, Barrow, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bryan, Bulloch, Burke, Butts, Calhoun, Camden, Candler, Carroll, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Clayton, Clinch, Cobb, Coffee, Colquitt, Columbia, Cook, Coweta, Crawford, Crisp, Dawson, Decatur, DeKalb, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Edgefield, Effingham, Elbert, Emanuel, Evans, Fannin, Fayette, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glascock, Glynn, Gordon, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Haralson, Harris, Hart, Heard, Henry, Houston, Irwin, Jackson, Jasper, Jeff Davis, Jefferson, Jenkins, Johnson, Jones, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Madison, Marion, McDuffie, McIntosh, Meriwether, Miller, Mitchell, Monroe, Montgomery, Morgan, Murray, Newton, Oconee, Oglethorpe, Paulding, Peach, Pickens, Pierce, Pike, Polk, Pulaski, Putnam, Quitman, Rabun, Randolph, Richmond, Rockdale, Schley, Screven, Seminole, Spalding, Stephens, Stewart, Sumter, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Terrell, Thomas, Tift, Toombs, Towns, Treutlen, Troup, Turner, Twiggs, Union, Upson, Walton, Ware, Warren, Washington, Wayne, Webster, Wheeler, White, Whitfield, Wilcox, Wilkes, Wilkinson, Worth","2875 Northwoods Pkwy Norcross, GA 30071-1535",770-225-5465,http://www.lifelinkfound.org
Georgia,Tennessee Donor Services,"Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Bristol City, Buchanan, Campbell, Cannon, Carter, Catoosa, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Dade, Davidson, Decatur, DeKalb, Dickenson, Dickson, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardin, Hawkins, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lawrence, Lee, Lewis, Lincoln, Loudon, Macon, Madison, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Norton City, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Russell, Rutherford, Scott, Scott, Sequatchie, Sevier, Smith, Smyth, Stewart, Sullivan, Sumner, Trousdale, Unicoi, Union, Van Buren, Walker, Warren, Washington, Washington, Wayne, Weakley, White, Williamson, Wilson, Wise","1714 Hayes St Nashville, TN 37203-3013",615-234-5251,http://www.donatelifetn.org
Hawaii,Legacy of Life Hawaii,"Hawaii, Honolulu, Kalawao, Kauai, Maui","405 N Kuakini St Ste 810 Honolulu, HI 96817-6302",808-599-7630,http://www.organdonorhawaii.com
Idaho,Intermountain Donor Services,"Bannock, Bear Lake, Beaver, Bingham, Blaine, Bonneville, Box Elder, Butte, Cache, Camas, Carbon, Caribou, Cassia, Clark, Custer, Daggett, Davis, Duchesne, Elmore, Emery, Franklin, Fremont, Garfield, Gooding, Grand, Iron, Jefferson, Jerome, Juab, Kane, Lincoln, Lincoln, Madison, Millard, Minidoka, Morgan, Oneida, Owyhee, Piute, Power, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Sweetwater, Teton, Tooele, Twin Falls, Uinta, Uintah, Utah, Wasatch, Washington, Wayne, Weber","230 S 500 E Ste 290 Salt Lake City, UT 84102-2047",801-521-1755,http://www.idslife.org
Idaho,LifeCenter Northwest,"Adams, Aleutians East, Aleutians West, Anchorage, Asotin, Beaverhead, Benewah, Benton, Bethel, Big Horn, Blaine, Bonner, Boundary, Bristol Bay, Broadwater, Carbon, Carter, Cascade, Chelan, Chouteau, Clallam, Clearwater, Columbia, Custer, Daniels, Dawson, Deer Lodge, Denali, Dillingham, Douglas, Fairbanks North Star, Fallon, Fergus, Ferry, Flathead, Franklin, Gallatin, Garfield, Garfield, Glacier, Golden Valley, Granite, Grant, Grays Harbor, Haines, Hill, Idaho, Island, Jefferson, Jefferson, Judith Basin, Juneau, Kenai Peninsula, Ketchikan Gateway, King, Kitsap, Kittitas, Klickitat, Kodiak Island, Kootenai, Lake, Lake and Peninsula, Latah, Lemhi, Lewis, Lewis, Lewis and Clark, Liberty, Lincoln, Lincoln, Madison, Mason, Matanuska-Susitna, McCone, Meagher, Mineral, Missoula, Musselshell, Nez Perce, Nome, North Slope, Northwest Arctic, Okanogan, Pacific, Park, Pend Oreille, Petroleum, Phillips, Pierce, Pondera, Powder River, Powell, Prairie, Prince of Wales-Outer Ketchikan, Ravalli, Richland, Roosevelt, Rosebud, San Juan, Sanders, Sheridan, Shoshone, Silver Bow, Sitka, Skagit, Skagway-Hoonah-Angoon, Snohomish, Southeast Fairbanks, Spokane, Stevens, Stillwater, Sweet Grass, Teton, Thurston, Toole, Treasure, Valdez-Cordova, Valley, Wade Hampton, Wahkiakum, Whatcom, Wheatland, Whitman, Wibaux, Wrangell-Petersburg, Yakima, Yakutat, Yellowstone, Yukon-Koyukuk","11245 Se 6th St Ste 100 Bellevue, WA 98004-6499",425-201-6563,http://www.lcnw.org
Idaho,Pacific Northwest Transplant Bank,"Ada, Adams, Baker, Benton, Boise, Canyon, Clackamas, Clark, Clatsop, Columbia, Coos, Cowlitz, Crook, Curry, Deschutes, Douglas, Gem, Gilliam, Grant, Harney, Hood River, Jackson, Jefferson, Josephine, Klamath, Lake, Lane, Lincoln, Linn, Malheur, Marion, Morrow, Multnomah, Payette, Polk, Sherman, Skamania, Tillamook, Umatilla, Union, Valley, Walla Walla, Wallowa, Wasco, Washington, Washington, Wheeler, Yamhill","2611 Sw 3rd Ave Ste 320 Portland, OR 97201-4943",503-494-5560,http://www.pntb.org
Illinois,Gift of Hope Organ & Tissue Donor Network,"Adams, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Effingham, Fayette, Ford, Fulton, Greene, Grundy, Hancock, Henderson, Henry, Iroquois, Jasper, Jo Daviess, Kane, Kankakee, Kendall, Knox, La Salle, Lake, Lake, Lawrence, Lee, Livingston, Logan, Macon, Macoupin, Marshall, Mason, McDonough, McHenry, McLean, Menard, Mercer, Montgomery, Morgan, Moultrie, Ogle, Peoria, Piatt, Pike, Porter, Putnam, Richland, Rock Island, Sangamon, Schuyler, Scott, Scott, Shelby, Stark, Stephenson, Tazewell, Vermilion, Warren, Whiteside, Will, Winnebago, Woodford","425 Spring Lake Dr Itasca, IL 60143-2076",630-758-2600,http://www.giftofhope.org
Illinois,Mid-America Transplant Services,"Alexander, Bollinger, Bond, Butler, Cape Girardeau, Carter, Christian, Clark, Clay, Clinton, Craighead, Crawford, Dent, Dunklin, Edwards, Franklin, Franklin, Gallatin, Gasconade, Greene, Greene, Hamilton, Hardin, Howell, Independence, Iron, Jackson, Jefferson, Jefferson, Jersey, Johnson, Knox, Lawrence, Lewis, Lincoln, Madison, Madison, Maries, Marion, Marion, Massac, Mississippi, Monroe, Monroe, Montgomery, New Madrid, Oregon, Osage, Pemiscot, Perry, Perry, Phelps, Pike, Polk, Pope, Pulaski, Ralls, Randolph, Reynolds, Ripley, Saline, Scotland, Scott, Shannon, Shelby, St. Charles, St. Clair, St. Francois, St. Louis, St. Louis City, Ste. Genevieve, Stoddard, Taney, Texas, Union, Wabash, Warren, Washington, Washington, Wayne, Wayne, Webster, White, Williamson","1110 Highlands Plaza Dr E Ste 100 Saint Louis, MO 63110-1350",314-735-8269,http://www.mts-stl.org
Indiana,Gift of Hope Organ & Tissue Donor Network,"Adams, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Effingham, Fayette, Ford, Fulton, Greene, Grundy, Hancock, Henderson, Henry, Iroquois, Jasper, Jo Daviess, Kane, Kankakee, Kendall, Knox, La Salle, Lake, Lake, Lawrence, Lee, Livingston, Logan, Macon, Macoupin, Marshall, Mason, McDonough, McHenry, McLean, Menard, Mercer, Montgomery, Morgan, Moultrie, Ogle, Peoria, Piatt, Pike, Porter, Putnam, Richland, Rock Island, Sangamon, Schuyler, Scott, Scott, Shelby, Stark, Stephenson, Tazewell, Vermilion, Warren, Whiteside, Will, Winnebago, Woodford","425 Spring Lake Dr Itasca, IL 60143-2076",630-758-2600,http://www.giftofhope.org
Indiana,Indiana Organ Procurement Organization,"Adams, Allen, Bartholomew, Benton, Blackford, Boone, Brown, Carroll, Cass, Clay, Clinton, Crawford, Daviess, De Kalb, Decatur, Delaware, Dubois, Elkhart, Fayette, Fountain, Franklin, Fulton, Gibson, Grant, Greene, Hamilton, Hancock, Henderson, Hendricks, Henry, Howard, Huntington, Jackson, Jasper, Jay, Jefferson, Jennings, Johnson, Knox, Kosciusko, La Porte, Lagrange, Lawrence, Madison, Marion, Marshall, Martin, Miami, Monroe, Montgomery, Morgan, Newton, Noble, Orange, Owen, Parke, Perry, Pike, Posey, Pulaski, Putnam, Randolph, Ripley, Rush, Shelby, Spencer, St. Joseph, Starke, Steuben, Sullivan, Switzerland, Tippecanoe, Tipton, Union, Vanderburgh, Vermillion, Vigo, Wabash, Warren, Warrick, Washington, Wayne, Wells, White, Whitley","3760 Guion Rd Ste 201 Indianapolis, IN 46222-1618",317-685-0389,http://www.iopo.org/
Indiana,Kentucky Organ Donor Affiliates,"Adair, Allen, Anderson, Ballard, Barren, Bath, Bell, Bourbon, Boyd, Boyle, Bracken, Breathitt, Breckinridge, Bullitt, Butler, Cabell, Caldwell, Calloway, Carlisle, Carroll, Carter, Casey, Christian, Clark, Clark, Clay, Clinton, Crittenden, Cumberland, Daviess, Edmonson, Elliott, Estill, Fayette, Fleming, Floyd, Floyd, Franklin, Fulton, Garrard, Graves, Grayson, Green, Greenup, Hancock, Hardin, Harlan, Harrison, Harrison, Hart, Henry, Hickman, Hopkins, Jackson, Jefferson, Jessamine, Johnson, Knott, Knox, Larue, Laurel, Lawrence, Lawrence, Lee, Leslie, Letcher, Lewis, Lincoln, Livingston, Logan, Lyon, Madison, Magoffin, Marion, Marshall, Martin, Mason, McCracken, McCreary, McLean, Meade, Menifee, Mercer, Metcalfe, Monroe, Montgomery, Morgan, Muhlenberg, Nelson, Nicholas, Ohio, Oldham, Owen, Owsley, Perry, Pike, Powell, Pulaski, Robertson, Rockcastle, Rowan, Russell, Scott, Scott, Shelby, Simpson, Spencer, Taylor, Todd, Trigg, Trimble, Union, Warren, Washington, Wayne, Wayne, Webster, Whitley, Wolfe, Woodford","106 E Broadway Louisville, KY 40202-2006",502-581-9511,http://www.kyorgandonor.org/
Indiana,LifeCenter Organ Donor Network,"Adams, Boone, Brown, Butler, Campbell, Clermont, Clinton, Dearborn, Gallatin, Grant, Hamilton, Kenton, Ohio, Pendleton, Warren","615 Elsinore Pl Ste 400 Cincinnati, OH 45202-1475",513-558-5555,http://www.lifepassiton.org/
Iowa,Gift of Hope Organ & Tissue Donor Network,"Adams, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Coles, Cook, Crawford, Cumberland, De Witt, DeKalb, Douglas, DuPage, Edgar, Effingham, Fayette, Ford, Fulton, Greene, Grundy, Hancock, Henderson, Henry, Iroquois, Jasper, Jo Daviess, Kane, Kankakee, Kendall, Knox, La Salle, Lake, Lake, Lawrence, Lee, Livingston, Logan, Macon, Macoupin, Marshall, Mason, McDonough, McHenry, McLean, Menard, Mercer, Montgomery, Morgan, Moultrie, Ogle, Peoria, Piatt, Pike, Porter, Putnam, Richland, Rock Island, Sangamon, Schuyler, Scott, Scott, Shelby, Stark, Stephenson, Tazewell, Vermilion, Warren, Whiteside, Will, Winnebago, Woodford","425 Spring Lake Dr Itasca, IL 60143-2076",630-758-2600,http://www.giftofhope.org
Iowa,Iowa Donor Network,"Adair, Adams, Allamakee, Appanoose, Audubon, Benton, Black Hawk, Boone, Bremer, Buchanan, Buena Vista, Butler, Calhoun, Carroll, Cass, Cedar, Cerro Gordo, Cherokee, Chickasaw, Clarke, Clay, Clayton, Clinton, Crawford, Dakota, Dallas, Davis, Decatur, Delaware, Des Moines, Dickinson, Dubuque, Emmet, Fayette, Floyd, Franklin, Fremont, Greene, Grundy, Guthrie, Hamilton, Hancock, Hardin, Harrison, Henry, Howard, Humboldt, Ida, Iowa, Jackson, Jasper, Jefferson, Johnson, Jones, Keokuk, Kossuth, Lee, Linn, Louisa, Lucas, Lyon, Madison, Mahaska, Marion, Marshall, Mills, Mitchell, Monona, Monroe, Montgomery, Muscatine, O'Brien, Osceola, Page, Palo Alto, Plymouth, Pocahontas, Polk, Poweshiek, Ringgold, Sac, Shelby, Sioux, Story, Tama, Taylor, Union, Van Buren, Wapello, Warren, Washington, Wayne, Webster, Winnebago, Winneshiek, Woodbury, Worth, Wright","550 Madison Ave N North Liberty, IA 52317-8401",319-665-3787,http://www.iowadonornetwork.org
Iowa,Nebraska Organ Recovery System,"Adams, Antelope, Arthur, Banner, Blaine, Boone, Box Butte, Boyd, Brown, Buffalo, Burt, Butler, Cass, Cedar, Chase, Cherry, Cheyenne, Clay, Colfax, Cuming, Custer, Dawes, Dawson, Deuel, Dixon, Dodge, Douglas, Dundy, Fillmore, Franklin, Frontier, Furnas, Gage, Garden, Garfield, Gosper, Grant, Greeley, Hall, Hamilton, Harlan, Hayes, Hitchcock, Holt, Hooker, Howard, Jefferson, Johnson, Kearney, Keith, Keya Paha, Kimball, Knox, Lancaster, Lincoln, Logan, Loup, Madison, McPherson, Merrick, Morrill, Nance, Nemaha, Nuckolls, Otoe, Pawnee, Perkins, Phelps, Pierce, Platte, Polk, Pottawattamie, Red Willow, Richardson, Rock, Saline, Sarpy, Saunders, Scotts Bluff, Seward, Sheridan, Sherman, Sioux, Stanton, Thayer, Thomas, Thurston, Valley, Washington, Wayne, Webster, Wheeler, York","8502 W Center Rd Omaha, NE 68124-2159",402-733-1800,http://www.nedonation.org/
